subject,accuracy,f1_macro,roc_auc,n_windows
10230076,0.7104542966611932,0.4190038671638534,0.5808820316846334,1827
17741077,0.7110016420361248,0.4263326910725755,0.5423947268008656,1827
23084164,0.7099069512862616,0.4151728553137004,0.5348624173878092,1827
35646451,0.7082649151614668,0.41461070169817366,0.6340188919407784,1827
43051602,0.7104542966611932,0.4171890348806287,0.43995269732990405,1827
43091099,0.7088122605363985,0.4147982062780269,0.4390672286286012,1827
48942731,0.7104542966611932,0.41536,0.5285680165209818,1827
59416627,0.7077175697865353,0.41442307692307695,0.5630313904480064,1827
59481326,0.7093596059113301,0.4186148807579712,0.48250179860829956,1827
61771259,0.7093596059113301,0.414985590778098,0.5335458652398193,1827
75903953,0.7099069512862616,0.4169982130213426,0.561700274670061,1827
82638880,0.7110016420361248,0.4366327474560592,0.5479187116430395,1827
84163914,0.7104542966611932,0.41536,0.543803029817576,1827
97132107,0.7077175697865353,0.41442307692307695,0.43364955828510343,1827
99723240,0.6934865900383141,0.4179807495392177,0.4358777936683162,1827
