task,condition,train_time_s,accuracy,f1_macro,precision,recall,roc_auc
valence,ce_baseline,20.351929187774658,0.835,0.4550408719346049,0.4175,0.5,0.47357648339684266
valence,auc_max,13.952089786529541,0.507,0.4559459030960811,0.5262930949913582,0.5475533780923003,0.5567910643359746
arousal,ce_baseline,17.652200937271118,0.7296666666666667,0.5855647059885645,0.593717987966419,0.581146953405018,0.6160401433691756
arousal,auc_max,16.660926818847656,0.639,0.5650504007386512,0.5686453974895398,0.5909916367980883,0.6059718040621267
dominance,ce_baseline,12.149293661117554,0.544,0.5079523720915957,0.5079557137929265,0.507949520008629,0.5523335610445954
dominance,auc_max,13.681082725524902,0.548,0.5052344444395795,0.5056403775381699,0.505468665731852,0.5601529260897182
liking,ce_baseline,12.119856119155884,0.6003333333333334,0.375910780746544,0.8001000333444481,0.5004166666666666,0.4673111111111111
liking,auc_max,13.664528131484985,0.454,0.4537356080342886,0.4770326136885622,0.4775,0.44984212962962966
