setting,accuracy,f1_macro,roc_auc,held_out_subject
within_DEAP_groupkfold,0.7555079365079365,0.45035704576459024,0.4517487934896268,
DEAP_to_SEEDIV_zero_shot,0.7085568326947638,0.4182096630222772,0.5169803866740844,
SEEDIV_only_LOSO,0.7089217296113847,0.5811915333205654,0.6730291767762533,56134567.06666667
