task,model,n_folds,elapsed_s,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
valence,XGBoost,5,417.46482849121094,0.7753174603174602,0.07171050510176392,0.4447023712404629,0.018948919620701627,0.4766093108306347,0.0697131598846291
valence,RandomForest,5,3435.3158264160156,0.7876031746031746,0.06060844208069308,0.4407983292560559,0.01796755263950659,0.49232584468074503,0.07125598075194621
arousal,XGBoost,5,485.71460461616516,0.7637142857142856,0.029333082632234518,0.44276219267496064,0.015502835450283694,0.4701462853775317,0.026801502820674266
arousal,RandomForest,5,2830.4367866516113,0.7671428571428571,0.03160204200612541,0.43397087298723525,0.010060134918257212,0.45418839089438945,0.06360167669307143
dominance,XGBoost,5,430.89357590675354,0.5583333333333333,0.0902122952814895,0.4482966823083278,0.057889791495086225,0.49360333255125644,0.04050962963984349
dominance,RandomForest,5,2897.242423057556,0.5880079365079365,0.07415523449646014,0.4420383229309107,0.06785960992876419,0.489293352110188,0.0321566344348182
liking,XGBoost,5,423.06924319267273,0.6311587301587303,0.025108660933380586,0.44987241884624973,0.03502163871699045,0.48410688318706113,0.017698967517613195
liking,RandomForest,5,3217.1360409259796,0.6488888888888888,0.02242985131544018,0.45858769657505966,0.058986071624187605,0.5237338680105802,0.023395594976027303
