task,condition,train_time_s,accuracy,f1_macro,precision,recall,roc_auc
valence,scratch,17.39911675453186,0.835,0.4550408719346049,0.4175,0.5,0.4735934192221617
valence,ssl_pretrained,13.581469058990479,0.835,0.4550408719346049,0.4175,0.5,0.5471916772515575
arousal,scratch,17.46314263343811,0.7283333333333334,0.5845210734480077,0.5922131147540983,0.5802867383512544,0.6160356829948227
arousal,ssl_pretrained,21.48762035369873,0.773,0.43885573813267775,0.48745819397993306,0.4997610513739546,0.534073755475906
dominance,scratch,12.135864019393921,0.544,0.5056079287767025,0.5056788482341434,0.5056196742530472,0.5524256043337048
dominance,ssl_pretrained,29.4457745552063,0.5966666666666667,0.4098190501956214,0.42994414739920284,0.47971811742710246,0.4996541185776435
liking,scratch,12.110381603240967,0.6003333333333334,0.375910780746544,0.8001000333444481,0.5004166666666666,0.46731435185185183
liking,ssl_pretrained,16.2113676071167,0.5973333333333334,0.38231835148540166,0.48316498316498313,0.49930555555555556,0.5674013888888888
