task,model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,train_time_s
arousal,RandomForest,0.7666666666666666,0.030914697757134305,0.4341076241802537,0.010314410979436202,0.4890124593959831,0.04614441612494995,4.403327369689942
arousal,XGBoost,0.7545238095238094,0.028870786234670025,0.45075265537358844,0.022227152706242346,0.4830463352825688,0.08247378865825747,1.026968765258789
arousal,kNN,0.7441111111111112,0.04804368045639742,0.4510789085664024,0.013157249127867258,0.4950297371169897,0.047582409979179265,0.022745418548583984
arousal,MLP,0.699563492063492,0.03020158035656852,0.45694474715742806,0.02599664709626547,0.43896095154549986,0.06924923422477754,5.600027561187744
arousal,SVM-RBF,0.6906825396825397,0.0634166305374434,0.44903399895519647,0.022952637145517242,0.4497352047308844,0.11046346212997303,13.809306764602661
arousal,LogisticRegression,0.6658809523809524,0.05907325778929296,0.4799174043080868,0.029993315540353113,0.46110696483232133,0.060855704976426644,0.19518084526062013
dominance,RandomForest,0.576920634920635,0.053304815693943484,0.44131457613396724,0.053753701444877414,0.49697629737712157,0.023130397872755032,4.677574205398559
dominance,MLP,0.5580158730158731,0.04421937591257089,0.4865532898149988,0.04658006550475369,0.4929006779029571,0.04655659359063668,4.405752897262573
dominance,SVM-RBF,0.5574761904761905,0.03069026428272508,0.4976800694123712,0.047938350474623456,0.5128487201640681,0.06830814972007385,18.53245840072632
dominance,XGBoost,0.5530079365079366,0.05641685242095157,0.4657602246344947,0.02639101729415793,0.473266613765379,0.03252908913145416,1.0463099479675293
dominance,kNN,0.5477619047619048,0.05604482400550484,0.494792618248815,0.04626232352987385,0.5009575399634192,0.05268469591060245,0.01854219436645508
dominance,LogisticRegression,0.517825396825397,0.08498948773790273,0.4649762260754611,0.06397374239638877,0.5003783995517384,0.04772875774065311,0.19287567138671874
liking,RandomForest,0.6427063492063493,0.017975257518100418,0.4468825073835708,0.04882994965104677,0.5279768819968277,0.037577404838327284,5.146539926528931
liking,XGBoost,0.634968253968254,0.025195278520246084,0.45442413855330577,0.05586393272022952,0.5048064615934579,0.013495020140096754,1.0677330017089843
liking,kNN,0.6312698412698413,0.02834876586070626,0.48061233834247774,0.03876733613506923,0.53108511476464,0.02664856961885874,0.016606616973876952
liking,SVM-RBF,0.5869285714285715,0.04304029793295727,0.5172042616443975,0.028506709422197848,0.5344002467417099,0.04539872575127848,17.98849744796753
liking,LogisticRegression,0.5708412698412698,0.049794443932134204,0.4495954125496836,0.02873033405960876,0.4235953890412226,0.016187875576413293,0.21083250045776367
liking,MLP,0.5676349206349207,0.06535314074927778,0.47372980847864576,0.043092652141867145,0.4875326685702957,0.04613080187220359,2.5217819690704344
valence,RandomForest,0.7785238095238094,0.06900525178015533,0.44594916997847783,0.01435262916688478,0.5007934274233433,0.05867100986188685,4.788683032989502
valence,XGBoost,0.7536666666666667,0.08662589162323978,0.4515214434027216,0.029247800914760955,0.45479410030459677,0.05018788968944954,1.0208488941192626
valence,kNN,0.731484126984127,0.07754356946277993,0.46371593082270035,0.02315201786135736,0.46525555987467604,0.040909320385634176,0.027562713623046874
valence,SVM-RBF,0.6764920634920635,0.07480820041501016,0.4687828450472744,0.051217992536917334,0.4996118384567806,0.08213761976157186,14.064386558532714
valence,LogisticRegression,0.6719761904761905,0.1412826243770593,0.4450051025117984,0.016246569983972926,0.4489064807238673,0.018801743267068204,0.16942620277404785
valence,MLP,0.6417777777777778,0.05340576531101795,0.4573143542596279,0.04482396592320424,0.4565961428893325,0.044479557634009674,4.632032203674316
