variant,task,model,n_windows,n_subjects,class_balance_high_frac,n_folds_valid,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
raw_threshold,valence,LogisticRegression,19200,32,0.21015625,5,0.5992460317460317,0.054577617219290046,0.45562228158562623,0.016874932953366832,0.43740634191883954,0.05118647200040585
raw_threshold,valence,RandomForest,19200,32,0.21015625,5,0.782920634920635,0.06267882329097157,0.4476177380417953,0.019055357273514435,0.47693869615264506,0.04926134997414685
raw_threshold,valence,XGBoost,19200,32,0.21015625,5,0.7661984126984127,0.062336750768280234,0.45301084583175655,0.025848468921169713,0.47126552027456203,0.05499242107073038
raw_threshold,arousal,LogisticRegression,19200,32,0.2328125,5,0.6382460317460318,0.047236729130912015,0.4845692975891847,0.03821634093950278,0.4542977022437916,0.10155693367414502
raw_threshold,arousal,RandomForest,19200,32,0.2328125,5,0.7663253968253969,0.031216019570133778,0.4339950707233234,0.010409456502456286,0.47942572199391337,0.05769822739185175
raw_threshold,arousal,XGBoost,19200,32,0.2328125,5,0.7638015873015872,0.03021186839117309,0.4378543452662835,0.01156780986570146,0.48205511859585537,0.045246323961076064
raw_threshold,dominance,LogisticRegression,19200,32,0.609375,5,0.5596666666666665,0.045433567174535984,0.5048108558783798,0.05665489079206282,0.5606461433271999,0.06054954866710539
raw_threshold,dominance,RandomForest,19200,32,0.609375,5,0.5647063492063491,0.05729362825611861,0.42161003286793497,0.05181045565346634,0.46654368489576187,0.01565097541830176
raw_threshold,dominance,XGBoost,19200,32,0.609375,5,0.5833888888888888,0.06917034682265691,0.477811014224363,0.04540632458873585,0.5134844349134632,0.03077331026627707
raw_threshold,liking,LogisticRegression,19200,32,0.66484375,5,0.562595238095238,0.041702324122746444,0.4754327724071109,0.026098573190780124,0.457642334377198,0.02333381513076129
raw_threshold,liking,RandomForest,19200,32,0.66484375,5,0.6438412698412699,0.014015280911112135,0.45972556574688667,0.05947739248731959,0.5177936620478066,0.05387534446890921
raw_threshold,liking,XGBoost,19200,32,0.66484375,5,0.6278095238095238,0.03635539430589788,0.4474685013946801,0.0454519695591206,0.47772922302210485,0.04148825363399023
per_subject_z,valence,LogisticRegression,19200,32,0.47265625,5,0.5007380952380952,0.023854184304719736,0.4843827018282908,0.022648104953087368,0.5041005333251383,0.030650830327089415
per_subject_z,valence,RandomForest,19200,32,0.47265625,5,0.5208809523809523,0.0206340888110728,0.5088449439829498,0.015734089535484067,0.5242343229338727,0.022348759299743743
