task,condition,train_time_s,accuracy,f1_macro,precision,recall,roc_auc
valence,baseline,123.54269337654114,0.835,0.4550408719346049,0.4175,0.5,0.4735668057823746
valence,dann,312.0874345302582,0.835,0.4550408719346049,0.4175,0.5,0.5126740458476986
arousal,baseline,26.83371877670288,0.7283333333333334,0.5845210734480077,0.5922131147540983,0.5802867383512544,0.6160382317801674
arousal,dann,216.07045793533325,0.775,0.43661971830985913,0.3875,0.5,0.3995807248108323
dominance,baseline,87.66138219833374,0.544,0.5039941523521119,0.5041374193916567,0.5040664437493259,0.5524567648222054
dominance,dann,183.76115322113037,0.631,0.3877346717503801,0.35252607405989855,0.4970445475137526,0.4034813456537111
liking,baseline,88.76832413673401,0.6003333333333334,0.375910780746544,0.8001000333444481,0.5004166666666666,0.4673185185185186
liking,dann,119.26932883262634,0.6,0.375,0.3,0.5,0.5170141203703704
