held_out_subject,accuracy,f1_macro,roc_auc
10230076,0.8330596606458676,0.7951442080221813,0.8802520090527525
17741077,0.8084291187739464,0.7368215267602851,0.796481281366418
23084164,0.7843459222769568,0.6480285161063193,0.72038413030371
35646451,0.7170224411603722,0.5650258412390532,0.6696124035523606
43051602,0.7142857142857143,0.4620796783625731,0.5947844728402866
43091099,0.7416529830322933,0.6820556232320938,0.7594554367486988
48942731,0.7372742200328407,0.6264923949190427,0.7069404434916594
59416627,0.7164750957854407,0.6494253810295726,0.6733101091980974
59481326,0.655719759168035,0.5473328204710062,0.5823587837621351
61771259,0.7099069512862616,0.4378422375076053,0.6092272246672938
75903953,0.4521072796934866,0.4516966183360521,0.559696319188165
82638880,0.645320197044335,0.5736670162136001,0.620701908709342
84163914,0.7339901477832512,0.5385519652761032,0.7442378998080513
97132107,0.7093596059113301,0.44089897664382743,0.5153930286816129
99723240,0.6748768472906403,0.5628101956891662,0.6626022002732138
