title:unconcerned, start timestamp:1741764852.494637, stop timestamp:1741764889.809570, headset type:EPOCX, headset serial:E502023B, headset firmware:730, channels:55, sampling rate:eeg_128, samples:4780      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1741764852.494637,1741764852.666661,14.000000,0.000000,4290.128418,4264.102539,4291.025879,4287.820313,4271.410156,4238.205078,4277.051270,4265.256348,4253.077148,4238.846191,4402.948730,4395.512695,4365.512695,4444.487305,5768.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764852.502445,1741764852.674569,15.000000,0.000000,4278.205078,4270.128418,4289.871582,4265.512695,4270.128418,4234.102539,4271.538574,4267.436035,4255.128418,4237.436035,4409.230957,4390.769043,4368.717773,4432.820313,6469.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764852.510253,1741764852.682478,16.000000,0.000000,4276.922852,4257.948730,4312.563965,4265.769043,4268.333496,4232.820313,4272.692383,4274.230957,4256.922852,4243.717773,4409.871582,4401.922852,4363.461426,4448.461426,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764852.518061,1741764852.690286,17.000000,0.000000,4274.487305,4246.282227,4298.717773,4270.769043,4260.000000,4233.846191,4273.333496,4264.743652,4243.974121,4237.179688,4392.820313,4402.563965,4355.000000,4438.846191,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764852.525869,1741764852.698194,18.000000,0.000000,4261.025879,4252.948730,4262.307617,4269.358887,4259.230957,4232.820313,4274.230957,4261.794922,4243.717773,4228.461426,4396.538574,4388.461426,4354.358887,4418.461426,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764852.533677,1741764852.706002,19.000000,0.000000,4258.589844,4243.717773,4270.128418,4268.846191,4261.794922,4229.358887,4275.641113,4258.717773,4243.461426,4230.769043,4404.615234,4385.000000,4353.333496,4427.307617,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764852.541486,1741764852.713810,20.000000,0.000000,4272.307617,4229.871582,4295.897461,4270.641113,4261.153809,4224.358887,4266.282227,4246.025879,4224.871582,4228.461426,4395.000000,4390.384766,4350.256348,4430.769043,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764852.549294,1741764852.721519,21.000000,0.000000,4276.153809,4242.436035,4288.846191,4281.153809,4256.538574,4222.820313,4269.743652,4250.641113,4228.205078,4220.897461,4396.794922,4385.000000,4351.410156,4414.358887,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764852.557102,1741764852.729427,22.000000,0.000000,4270.769043,4255.512695,4294.487305,4292.051270,4254.358887,4225.512695,4285.000000,4268.333496,4254.358887,4231.282227,4390.897461,4393.846191,4355.256348,4415.256348,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764852.564910,1741764852.737235,23.000000,0.000000,4267.436035,4255.897461,4297.948730,4288.333496,4259.230957,4225.641113,4280.256348,4266.153809,4248.589844,4239.871582,4370.000000,4418.717773,4353.717773,4425.641113,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
