title:angry, start timestamp:1741771332.638677, stop timestamp:1741771337.549973, headset type:EPOCX, headset serial:E502023B, headset firmware:730, channels:55, sampling rate:eeg_128, samples:630       , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1741771332.716758,1741771332.717741,122.000000,0.000000,4335.769043,4327.307617,4328.589844,4313.461426,4298.461426,4339.487305,4321.922852,4289.230957,4439.487305,4221.410156,4463.974121,4435.512695,4360.000000,4421.410156,6107.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.724567,1741771332.725549,123.000000,0.000000,4321.922852,4319.102539,4317.307617,4306.153809,4294.487305,4325.897461,4313.333496,4283.205078,4428.974121,4212.179688,4457.051270,4427.307617,4349.230957,4417.179688,6234.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.732375,1741771332.733457,124.000000,0.000000,4326.410156,4318.589844,4326.025879,4310.641113,4292.820313,4313.333496,4310.000000,4288.205078,4428.205078,4216.666504,4464.230957,4427.179688,4360.512695,4424.358887,6035.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.740183,1741771332.741265,125.000000,0.000000,4347.692383,4335.128418,4353.333496,4330.256348,4299.102539,4309.102539,4312.948730,4307.948730,4444.487305,4236.025879,4483.974121,4451.666504,4384.615234,4441.538574,4517.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.747991,1741771332.749173,126.000000,0.000000,4365.512695,4349.358887,4370.128418,4341.538574,4300.256348,4304.615234,4306.538574,4313.333496,4452.948730,4248.846191,4495.128418,4465.000000,4391.794922,4454.615234,6107.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.755799,1741771332.756982,127.000000,0.000000,4378.333496,4360.384766,4378.205078,4351.025879,4306.666504,4305.000000,4303.077148,4313.717773,4451.794922,4256.282227,4506.410156,4467.820313,4399.230957,4469.871582,48.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.763607,1741771332.764690,0.000000,0.000000,4382.563965,4372.563965,4392.563965,4367.051270,4320.000000,4308.846191,4307.051270,4320.128418,4457.563965,4272.820313,4526.282227,4474.871582,4418.717773,4484.487305,5829.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.771415,1741771332.772598,1.000000,0.000000,4368.205078,4365.384766,4386.538574,4359.743652,4311.025879,4308.717773,4299.102539,4313.589844,4456.153809,4270.897461,4521.025879,4468.846191,4410.256348,4469.615234,5713.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.779223,1741771332.780406,2.000000,0.000000,4355.000000,4339.871582,4355.769043,4329.230957,4287.307617,4308.461426,4289.615234,4300.641113,4441.282227,4242.948730,4490.256348,4449.615234,4378.077148,4440.897461,5609.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.787031,1741771332.788214,3.000000,0.000000,4346.025879,4320.897461,4341.153809,4313.589844,4286.410156,4309.358887,4298.974121,4295.897461,4438.205078,4231.025879,4471.282227,4435.897461,4363.333496,4428.846191,5521.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.794840,1741771332.795923,4.000000,0.000000,4325.897461,4308.717773,4340.000000,4305.384766,4291.282227,4307.948730,4309.102539,4296.282227,4437.179688,4227.692383,4460.769043,4431.025879,4352.692383,4416.794922,5485.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.802647,1741771332.803731,5.000000,0.000000,4315.128418,4305.769043,4332.051270,4295.256348,4284.615234,4301.922852,4303.717773,4291.794922,4422.692383,4216.282227,4452.820313,4426.282227,4340.769043,4404.230957,3705.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.810456,1741771332.811439,6.000000,0.000000,4325.256348,4318.589844,4333.205078,4303.333496,4289.230957,4297.820313,4303.461426,4290.897461,4416.153809,4218.717773,4459.358887,4429.230957,4346.282227,4413.205078,5475.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
